file,line,value,context_snippet
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0000-0002-5982-8983,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0000-0002-5982-8983,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/zenodo_api_lookup.json,1,0009-0001-8671-8878,"{""hits"": {""hits"": [{""created"": ""2026-02-10T09:24:42.830168+00:00"", ""modified"": ""2026-02-10T09:24:43.026455+00:00"", ""id"": 18592149, ""conceptrecid"": ""18487441"", ""doi"": ""10.5281/ze..."
_paperpack/derived/orcid_resolution_report.md,11,0000-0002-8596-5097,- candidate A: `0000-0002-8596-5097`
_paperpack/derived/orcid_resolution_report.md,12,0009-0001-8671-8878,- candidate B: `0009-0001-8671-8878`
_paperpack/derived/orcid_resolution_report.md,24,0009-0001-8671-8878,- `creators[0].orcid` = `0009-0001-8671-8878`
_paperpack/derived/orcid_resolution_report.md,26,0009-0001-8671-8878,This ties the release DOI directly to ORCID `0009-0001-8671-8878` in machine-readable form.
_paperpack/derived/orcid_resolution_report.md,37,0009-0001-8671-8878,- `0009-0001-8671-8878` resolves and returns:
_paperpack/derived/orcid_resolution_report.md,40,0000-0002-8596-5097,- `0000-0002-8596-5097` returned `404` (no public record via endpoint at time of check).
_paperpack/derived/orcid_resolution_report.md,44,0009-0001-8671-8878,**Canonical ORCID for this project:** `0009-0001-8671-8878` (https://orcid.org/0009-0001-8671-8878)
_paperpack/derived/orcid_resolution_report.md,44,0009-0001-8671-8878,**Canonical ORCID for this project:** `0009-0001-8671-8878` (https://orcid.org/0009-0001-8671-8878)
_paperpack/derived/orcid_resolution_report.md,54,0009-0001-8671-8878,The canonical ORCID `0009-0001-8671-8878` is now used consistently in:
_paperpack/derived/orcid_0000-0002-8596-5097.json,1,0000-0002-8596-5097,ORCID_FETCH_FAILED 0000-0002-8596-5097
